/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,5.348888909955276e-10,-40,1.68361862032028e-10,-40,1.341123630007861e-09
-35.2,5.477527503275196e-10,-35.2,1.683967711958765e-10,-35.2,1.342640160554954e-09
-30.4,5.647287491628896e-10,-30.4,1.684315537250787e-10,-30.4,1.344285269061629e-09
-25.6,5.872482539123883e-10,-25.6,1.684669742865351e-10,-25.6,1.345595334974922e-09
-20.8,6.17162237321959e-10,-20.8,1.685055618571337e-10,-20.8,1.347235210066924e-09
-16,6.568375469214251e-10,-16,1.685509291078269e-10,-16,1.348647567878567e-09
-11.2,7.092744946868871e-10,-11.2,1.686083604051998e-10,-11.2,1.350411034464047e-09
-6.399999999999999,7.782732872417972e-10,-6.399999999999999,1.686864882715359e-10,-6.399999999999999,1.351893519299691e-09
-1.6,8.686583365964363e-10,-1.6,1.687979535951709e-10,-1.6,1.353581140824694e-09
3.2,9.865060759156196e-10,3.2,1.689645265218194e-10,3.2,1.354765953144271e-09
8,1.140047680911578e-09,8,1.692202526812301e-10,8,1.356635959592125e-09
12.8,1.341229412312765e-09,12.8,1.696222533779354e-10,12.8,1.358420601841934e-09
17.6,1.596624369050421e-09,17.6,1.702766632512997e-10,17.6,1.359697753443565e-09
22.4,1.915925390747007e-09,22.4,1.713979144623832e-10,22.4,1.361211820272943e-09
27.2,2.315349223186205e-09,27.2,1.735341437001191e-10,27.2,1.36327568651974e-09
32,2.8134760026278e-09,32,1.785079171222358e-10,32,1.365118509167092e-09
36.8,3.431405810265577e-09,36.8,1.905902234567079e-10,36.8,1.367941407192749e-09
41.59999999999999,4.193386964753269e-09,41.59999999999999,2.084442505655757e-10,41.59999999999999,1.37321762047492e-09
46.39999999999999,5.1273208748241e-09,46.39999999999999,2.147994642557757e-10,46.39999999999999,1.401223021470936e-09
51.19999999999999,6.265152155414747e-09,51.19999999999999,2.219100989853316e-10,51.19999999999999,1.445248632875112e-09
55.99999999999999,7.643220515503476e-09,55.99999999999999,2.318989556234472e-10,55.99999999999999,1.507034286581048e-09
60.79999999999998,9.302580222668475e-09,60.79999999999998,2.461171302783789e-10,60.79999999999998,1.596158599930339e-09
65.59999999999998,1.128928640966473e-08,65.59999999999998,2.664271629194196e-10,65.59999999999998,1.721214394259909e-09
70.39999999999998,1.365464208944421e-08,70.39999999999998,2.954981984452054e-10,70.39999999999998,1.898840059362687e-09
75.19999999999997,1.645538476568228e-08,75.19999999999997,3.371918870262705e-10,75.19999999999997,2.150269888339304e-09
79.99999999999997,1.975390338704131e-08,79.99999999999997,3.971166719292414e-10,79.99999999999997,2.507366829447737e-09
84.79999999999997,2.361824991640429e-08,84.79999999999997,4.834392163348268e-10,84.79999999999997,3.014533730579338e-09
89.59999999999997,2.812225198541421e-08,89.59999999999997,6.080621664006689e-10,89.59999999999997,3.736398952902026e-09
94.39999999999996,3.33455017908132e-08,94.39999999999996,7.883277930918361e-10,94.39999999999996,4.766691482561617e-09
99.19999999999996,3.937331037124234e-08,99.19999999999996,1.04946448546336e-09,99.19999999999996,6.240983292930451e-09
104,4.629661275809828e-08,104,1.428073129571684e-09,104,8.352508506543479e-09
108.8,5.421182295084222e-08,108.8,1.977067222289438e-09,108.8,1.138092826282034e-08
113.6,6.322063992725103e-08,113.6,2.772607629067729e-09,113.6,1.572841208899202e-08
118.3999999999999,7.342981838790791e-08,118.3999999999999,3.923777351309814e-09,118.3999999999999,2.196699111026519e-08
123.1999999999999,8.495094287849373e-08,123.1999999999999,5.585952530960399e-09,123.1999999999999,3.091067115680856e-08
127.9999999999999,9.79002629024057e-08,127.9999999999999,7.979161255054036e-09,127.9999999999999,4.371220390082647e-08
132.8,1.123986174916089e-07,132.8,1.141307690017789e-08,132.8,6.199012349131699e-08
137.6,1.285713942659686e-07,137.6,1.632079602832637e-08,137.6,8.801220002708815e-08
142.4,1.465484125232549e-07,142.4,2.330414770853104e-08,142.4,1.249266709813051e-07
147.2,1.664636803322948e-07,147.2,3.319402434166148e-08,147.2,1.77085370044605e-07
152,1.884551762574748e-07,152,4.713014678092482e-08,152,2.504613479372551e-07
156.8,2.126652376951133e-07,156.8,6.666578842929785e-08,156.8,3.532050833779429e-07
161.6,2.392429566095522e-07,161.6,9.390435122870569e-08,161.6,4.96362127917471e-07
166.4,2.683505193577804e-07,166.4,1.316762952085473e-07,166.4,6.948134392681238e-07
171.2,3.001724588278663e-07,171.2,1.837669048148686e-07,171.2,9.684813264456339e-07
176.0000000000001,3.349194886972915e-07,176.0000000000001,2.552076660827584e-07,176.0000000000001,1.343872870414979e-06
180.8000000000001,3.728209277345933e-07,180.8000000000001,3.5264679239621e-07,180.8000000000001,1.856054629305788e-06
185.6000000000001,4.141146967557343e-07,185.6000000000001,4.848176418867493e-07,185.6000000000001,2.551154841982564e-06
190.4000000000001,4.590443504351592e-07,190.4000000000001,6.631275509355593e-07,190.4000000000001,3.489548852281919e-06
195.2000000000001,5.078615008372736e-07,195.2000000000001,9.023939615215835e-07,195.2000000000001,4.749935386607502e-06
200,5.60832220672595e-07,200,1.22175980404241e-06,200,6.43472055063147e-06
