/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net015 X,/net015 Y
-40,1.67323812404153e-05,-40,4.221862704740879e-09,-40,3.028339143939508e-09,-40,2.094869411591247e-08
-35.2,1.675348272076304e-05,-35.2,4.486407208377333e-09,-35.2,3.181058968275818e-09,-35.2,2.148537333424021e-08
-30.4,1.677507816665187e-05,-30.4,4.841672237016516e-09,-30.4,3.35249822396612e-09,-30.4,2.202735809157513e-08
-25.6,1.679715363456145e-05,-25.6,5.323233173269012e-09,-25.6,3.546373554458017e-09,-25.6,2.257462025516173e-08
-20.8,1.681969113213204e-05,-20.8,5.978217652048431e-09,-20.8,3.767464146453398e-09,-20.8,2.312712845382974e-08
-16,1.684265986434546e-05,-16,6.868271928583387e-09,-16,4.021974475794366e-09,-16,2.368483872177851e-08
-11.2,1.686600753343222e-05,-11.2,8.073077418699388e-09,-11.2,4.318006760589228e-09,-11.2,2.424768492048712e-08
-6.399999999999999,1.688964604092834e-05,-6.399999999999999,9.694474260501331e-09,-6.399999999999999,4.666166141906689e-09,-6.399999999999999,2.481556398543937e-08
-1.6,1.691343859956256e-05,-1.6,1.186124589791702e-08,-1.6,5.080326879431987e-09,-1.6,2.53883179666558e-08
3.2,1.693719854365563e-05,3.2,1.473461631476564e-08,3.2,5.578591250407749e-09,3.2,2.596573453619315e-08
8,1.696068603498499e-05,8,1.851450519952822e-08,8,6.184475435782791e-09,8,2.654754184398245e-08
12.8,1.698360396755764e-05,12.8,2.344658328274171e-08,12.8,6.928360674427752e-09,12.8,2.713341291178209e-08
17.6,1.700563491927234e-05,17.6,2.983015910762727e-08,17.6,7.84925191868179e-09,17.6,2.772302337743345e-08
22.4,1.702660037644407e-05,22.4,3.802692562445506e-08,22.4,8.99688754637061e-09,22.4,2.831627619540288e-08
27.2,1.704709773371797e-05,27.2,4.847057918099712e-08,27.2,1.043424915195548e-08,27.2,2.891415396068837e-08
32,1.707096132191347e-05,32,6.167732018730492e-08,32,1.224051906542311e-08,32,2.952190498948645e-08
36.8,1.710773694596384e-05,36.8,7.825723020039723e-08,36.8,1.451453999127226e-08,36.8,3.015271277490351e-08
41.59999999999999,1.715966093283468e-05,41.59999999999999,9.892651015355935e-08,41.59999999999999,1.737882677161251e-08,41.59999999999999,3.081265261436887e-08
46.39999999999999,1.72334247678006e-05,46.39999999999999,1.245205525610025e-07,46.39999999999999,2.098418843685778e-08,46.39999999999999,3.151562876305006e-08
51.19999999999999,1.734209551063206e-05,51.19999999999999,1.560078127175257e-07,51.19999999999999,2.551500921830226e-08,51.19999999999999,3.228786947791112e-08
55.99999999999999,1.750726148394749e-05,55.99999999999999,1.945044268527399e-07,55.99999999999999,3.119524798525872e-08,55.99999999999999,3.317403002233219e-08
60.79999999999998,1.776738429418599e-05,60.79999999999998,2.412895204571777e-07,60.79999999999998,3.829520333380522e-08,60.79999999999998,3.425360461349237e-08
65.59999999999998,1.818630776517259e-05,65.59999999999998,2.978211359709496e-07,65.59999999999998,4.713909823809525e-08,65.59999999999998,3.566148557037802e-08
70.39999999999998,1.886867791822497e-05,70.39999999999998,3.657527024102087e-07,70.39999999999998,5.811352950096456e-08,70.39999999999998,3.762364224991729e-08
