/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,1.673543307173253e-05,-40,4.221862737759789e-09,-40,3.028339171154288e-09,-40,2.095134604237168e-08
-35.2,1.675650339863679e-05,-35.2,4.486407183485669e-09,-35.2,3.181058938904981e-09,-35.2,2.148806185001428e-08
-30.4,1.677808635090099e-05,-30.4,4.841672270006325e-09,-30.4,3.352498138023394e-09,-30.4,2.203009943968106e-08
-25.6,1.680018168891994e-05,-25.6,5.323233148405697e-09,-25.6,3.546373581633475e-09,-25.6,2.25774443988833e-08
-20.8,1.682279393243141e-05,-20.8,5.978217627185117e-09,-20.8,3.767464173628856e-09,-20.8,2.313008880770123e-08
-16,1.684592844989512e-05,-16,6.868271961519303e-09,-16,4.021974502969824e-09,-16,2.368802780950982e-08
-11.2,1.686958978991476e-05,-11.2,8.073077451635299e-09,-11.2,4.318006787764684e-09,-11.2,2.425125843819988e-08
-6.399999999999999,1.689377765986528e-05,-6.399999999999999,9.694474293437241e-09,-6.399999999999999,4.666166112571343e-09,-6.399999999999999,2.481977532620606e-08
-1.6,1.691848794682257e-05,-1.6,1.186124593085293e-08,-1.6,5.080326850096641e-09,-1.6,2.539357580231209e-08
3.2,1.694373065100521e-05,3.2,1.473461634770155e-08,3.2,5.578591221072406e-09,3.2,2.597268073352765e-08
8,1.696955109958738e-05,8,1.851450517478186e-08,8,6.184475406446321e-09,8,2.655716618711797e-08
12.8,1.699605343778067e-05,12.8,2.344658320033398e-08,12.8,6.928360645092438e-09,12.8,2.714720647077591e-08
17.6,1.702345506884712e-05,17.6,2.983015914050272e-08,17.6,7.849251832888586e-09,17.6,2.774316741882759e-08
22.4,1.705219586086493e-05,22.4,3.80269256573305e-08,22.4,8.996887517025634e-09,22.4,2.834578608224405e-08
27.2,1.708317001999188e-05,27.2,4.847057915626874e-08,27.2,1.043424912261049e-08,27.2,2.895655939065065e-08
32,1.711812413242542e-05,32,6.167732016257654e-08,32,1.224051914893627e-08,32,2.957841955697174e-08
36.8,1.716035621680042e-05,36.8,7.825723023323734e-08,36.8,1.451453996194507e-08,36.8,3.021696655201943e-08
41.59999999999999,1.721571639493972e-05,41.59999999999999,9.892651005460524e-08,41.59999999999999,1.737882685768352e-08,41.59999999999999,3.088238627739888e-08
46.39999999999999,1.729376771680009e-05,46.39999999999999,1.245205525890267e-07,46.39999999999999,2.09841883379028e-08,46.39999999999999,3.159208435921286e-08
51.19999999999999,1.740816139436576e-05,51.19999999999999,1.560078127314878e-07,51.19999999999999,2.551500922167985e-08,51.19999999999999,3.23731025976861e-08
55.99999999999999,1.756907891296235e-05,55.99999999999999,1.945044268726071e-07,55.99999999999999,3.119524799025899e-08,55.99999999999999,3.325521496130034e-08
60.79999999999998,1.78406716084353e-05,60.79999999999998,2.412895204195535e-07,60.79999999999998,3.829520333880544e-08,60.79999999999998,3.435155724587832e-08
65.59999999999998,1.828093687191415e-05,65.59999999999998,2.978211359333254e-07,65.59999999999998,4.713909824309547e-08,65.59999999999998,3.579016912409814e-08
70.39999999999998,1.899533022470467e-05,70.39999999999998,3.657527024300471e-07,70.39999999999998,5.811352950596478e-08,70.39999999999998,3.779883670242344e-08
75.19999999999997,2.015661756647752e-05,75.19999999999997,4.469499589025748e-07,75.19999999999997,7.167682736239887e-08,75.19999999999997,4.075670604577054e-08
79.99999999999997,2.204113034422607e-05,79.99999999999997,5.435082389331446e-07,79.99999999999997,8.836936529784424e-08,79.99999999999997,4.528318966807025e-08
84.79999999999997,2.508456468246681e-05,84.79999999999997,6.577700156191669e-07,84.79999999999997,1.088248538588604e-07,84.79999999999997,5.237550836857244e-08
89.59999999999997,2.996749745747215e-05,89.59999999999997,7.923426032017476e-07,89.59999999999997,1.337826501863273e-07,89.59999999999997,6.362322719392133e-08
94.39999999999996,3.774112386904909e-05,94.39999999999996,9.501159090773333e-07,94.39999999999996,1.641011059226301e-07,94.39999999999996,8.153076133567868e-08
