v /net013; dc (V) X,v /net013; dc (V) Y
-40,4.982292256855202
-36.2,4.982289413356948
-32.40000000000001,4.982286912626523
-28.6,4.982284679737056
-24.8,4.982282806448159
-21,4.982281387103963
-17.2,4.982280517818841
-13.4,4.982280295943935
-9.600000000000001,4.982280902522801
-5.800000000000002,4.98228227078977
-2.000000000000002,4.982284581345485
1.799999999999998,4.98228793215272
5.599999999999998,4.982292420591467
9.399999999999999,4.982298143316591
13.2,4.982305196393431
17,4.9823136742418
20.8,4.982323581882257
24.6,4.982335191375173
28.4,4.982348507015337
32.2,4.982363621384784
36,4.982380626920121
39.8,4.982399616051616
43.59999999999999,4.982420681426961
47.39999999999999,4.982443916149057
51.19999999999999,4.982469414025068
54.99999999999999,4.982497269824295
58.79999999999998,4.982527579542917
62.59999999999998,4.982560440673287
66.39999999999998,4.982595952475709
70.19999999999997,4.9826342162452
73.99999999999997,4.98267533558811
77.79999999999997,4.982719416675866
81.59999999999997,4.982766568481465
85.39999999999996,4.982816902996176
89.19999999999996,4.982870535401447
92.99999999999996,4.982927584179127
96.79999999999995,4.98298817113111
100.6,4.983052421270305
104.3999999999999,4.983120462529963
108.1999999999999,4.983192425221457
111.9999999999999,4.983268441145954
115.7999999999999,4.983348642236603
119.5999999999999,4.98343315856704
123.3999999999999,4.983522115514824
127.1999999999999,4.983615629804071
130.9999999999999,4.98371380407344
134.8,4.983816719516956
138.6,4.983924426022145
142.4,4.984036929077988
146.2,4.984154172537938
150,4.984276016093147
