/I7/VDD1V5 X,/I7/VDD1V5 Y,/I7/VDDP5V X,/I7/VDDP5V Y,/I7/VDDVS X,/I7/VDDVS Y
-40,5.348888910041538e-10,-40,1.683618620410315e-10,-40,1.341123630007836e-09
-35.2,5.477527503355794e-10,-35.2,1.683967712059735e-10,-35.2,1.342640160516878e-09
-30.4,5.647287491704315e-10,-30.4,1.684315537356737e-10,-30.4,1.34428526900634e-09
-25.6,5.87248253918532e-10,-25.6,1.684669742979389e-10,-25.6,1.345595334907368e-09
-20.8,6.17162237325698e-10,-20.8,1.685055618713151e-10,-20.8,1.347235210057266e-09
-16,6.568375469208655e-10,-16,1.685509291305922e-10,-16,1.348647567862211e-09
-11.2,7.092744946798714e-10,-11.2,1.686083604512657e-10,-11.2,1.350411034405909e-09
-6.399999999999999,7.78273287225318e-10,-6.399999999999999,1.686864883761841e-10,-6.399999999999999,1.351893519276482e-09
-1.6,8.686583365654724e-10,-1.6,1.687979538394193e-10,-1.6,1.353581140794093e-09
3.2,9.865060758584149e-10,3.2,1.689645270968624e-10,3.2,1.354765953130057e-09
8,1.140047680850429e-09,8,1.692202540722703e-10,8,1.356635959569064e-09
12.8,1.341229412340966e-09,12.8,1.696222570115528e-10,12.8,1.358420601861253e-09
17.6,1.596624369504485e-09,17.6,1.702766743574133e-10,17.6,1.359697753491719e-09
22.4,1.915925392503328e-09,22.4,1.713979572858569e-10,22.4,1.36121182047695e-09
27.2,2.315349228499805e-09,27.2,1.735343712338938e-10,27.2,1.363275687776784e-09
32,2.813476016811288e-09,32,1.785094313750282e-10,32,1.365118519757703e-09
36.8,3.431405845359682e-09,36.8,1.905961654092468e-10,36.8,1.367941481123196e-09
41.59999999999999,4.193387048941285e-09,41.59999999999999,2.084479245831089e-10,41.59999999999999,1.373224391504727e-09
46.39999999999999,5.127321066406984e-09,46.39999999999999,2.148000669644627e-10,46.39999999999999,1.401247143945901e-09
51.19999999999999,6.265152575990651e-09,51.19999999999999,2.219103887319475e-10,51.19999999999999,1.445292358422651e-09
55.99999999999999,7.643221406151392e-09,55.99999999999999,2.318992359627456e-10,55.99999999999999,1.5071091185017e-09
60.79999999999998,9.302582046133922e-09,60.79999999999998,2.461174260857559e-10,60.79999999999998,1.596283598062785e-09
65.59999999999998,1.128929002480146e-08,65.59999999999998,2.664274873907479e-10,65.59999999999998,1.721418898475751e-09
70.39999999999998,1.36546490379907e-08,70.39999999999998,2.954985606795467e-10,70.39999999999998,1.899168237923528e-09
75.19999999999997,1.645539772099732e-08,75.19999999999997,3.371922942808559e-10,75.19999999999997,2.150786875307327e-09
79.99999999999997,1.975392685198921e-08,79.99999999999997,3.971171302771e-10,79.99999999999997,2.508166634446601e-09
84.79999999999997,2.361829121498459e-08,84.79999999999997,4.834397310538931e-10,84.79999999999997,3.015749762414756e-09
89.59999999999997,2.812232265846046e-08,89.59999999999997,6.080627416620286e-10,89.59999999999997,3.738215760167982e-09
94.39999999999996,3.334561944666682e-08,94.39999999999996,7.883284320282649e-10,94.39999999999996,4.769359573654965e-09
99.19999999999996,3.937350102006629e-08,99.19999999999996,1.049465189815271e-09,99.19999999999996,6.244835099351767e-09
104,4.6296913583188e-08,104,1.428073899968318e-09,104,8.357974470179692e-09
108.8,5.421228535502759e-08,108.8,1.977068057276046e-09,108.8,1.138855227221972e-08
113.6,6.322133253404094e-08,113.6,2.772608525353829e-09,113.6,1.573886158342505e-08
118.3999999999999,7.343082946018075e-08,118.3999999999999,3.923778303391701e-09,118.3999999999999,2.198105866832992e-08
123.1999999999999,8.495238135077516e-08,123.1999999999999,5.585953530861039e-09,123.1999999999999,3.092926088571645e-08
127.9999999999999,9.790225689079853e-08,127.9999999999999,7.979162292057955e-09,127.9999999999999,4.373629442812559e-08
132.8,1.124013087326722e-07,132.8,1.141307796056667e-08,132.8,6.202069687087345e-08
137.6,1.285749263906691e-07,137.6,1.632079709511493e-08,137.6,8.805012323408767e-08
142.4,1.465529102772089e-07,142.4,2.330414876120626e-08,142.4,1.249725135247168e-07
147.2,1.664692155908311e-07,147.2,3.319402535593818e-08,147.2,1.771391391250712e-07
152,1.884617146839961e-07,152,4.713014772850346e-08,152,2.505221180698126e-07
156.8,2.126725576724507e-07,156.8,6.666578927763551e-08,156.8,3.532704957278746e-07
161.6,2.392505345026709e-07,161.6,9.390435194078735e-08,161.6,4.964277305538839e-07
166.4,2.683573974049527e-07,166.4,1.316762957426413e-07,166.4,6.948718364047501e-07
171.2,3.001771565201923e-07,171.2,1.837669051242966e-07,171.2,9.685210951939872e-07
176.0000000000001,3.349199987907516e-07,176.0000000000001,2.552076661152577e-07,176.0000000000001,1.343877247831175e-06
180.8000000000001,3.72814716328517e-07,180.8000000000001,3.526467920937488e-07,180.8000000000001,1.855999788834592e-06
185.6000000000001,4.140986179839894e-07,185.6000000000001,4.848176411844415e-07,185.6000000000001,2.55100791427245e-06
190.4000000000001,4.590145007442096e-07,190.4000000000001,6.631275497616705e-07,190.4000000000001,3.489265324421042e-06
195.2000000000001,5.078130607875869e-07,195.2000000000001,9.023939597925321e-07,195.2000000000001,4.7494554751322e-06
200,5.607592823933328e-07,200,1.221759801666986e-06,200,6.433963295887375e-06
