i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
-40,7.207547266186682e-05,-40,0.0002825093345112274,-40,3.469169111832863e-11,-40,3.703181065721073e-10
-36.2,7.224689141546065e-05,-36.2,0.0002823318336505316,-36.2,3.469177147323334e-11,-36.2,3.775860351433806e-10
-32.40000000000001,7.241655723354955e-05,-32.40000000000001,0.0002821623198675496,-32.40000000000001,3.469187315992113e-11,-32.40000000000001,3.863522462772828e-10
-28.6,7.258203752192787e-05,-28.6,0.00028199407708229,-28.6,3.469200829522176e-11,-28.6,3.970015926153649e-10
-24.8,7.274339979354315e-05,-24.8,0.0002818265895420869,-24.8,3.469219553498484e-11,-24.8,4.100044133500617e-10
-21,7.290075367399273e-05,-21,0.0002816595937111538,-21,3.469246337244716e-11,-21,4.259338443692528e-10
-17.2,7.305420260334841e-05,-17.2,0.0002814928333366583,-17.2,3.469285493892074e-11,-17.2,4.454878412801122e-10
-13.4,7.320384502721801e-05,-13.4,0.0002813260706321177,-13.4,3.469343490843944e-11,-13.4,4.694958714405843e-10
-9.600000000000001,7.334977558310262e-05,-9.600000000000001,0.0002811590881608827,-9.600000000000001,3.469429931474743e-11,-9.600000000000001,4.989253975264729e-10
-5.800000000000002,7.349400273688525e-05,-5.800000000000002,0.0002809966333077022,-5.800000000000002,3.469558935316525e-11,-5.800000000000002,5.3493307190347e-10
-2.000000000000002,7.363271475672207e-05,-2.000000000000002,0.000280828464288468,-2.000000000000002,3.469751057356607e-11,-2.000000000000002,5.788854880121722e-10
1.799999999999998,7.376621237181447e-05,1.799999999999998,0.0002806549703179024,1.799999999999998,3.4700359278772e-11,1.799999999999998,6.323845466077987e-10
5.599999999999998,7.389815649561261e-05,5.599999999999998,0.00028048525164846,5.599999999999998,3.470455844020368e-11,5.599999999999998,6.972974987501244e-10
9.399999999999999,7.402683603971584e-05,9.399999999999999,0.0002803145461327799,9.399999999999999,3.471070601546133e-11,9.399999999999999,7.757900875749464e-10
13.2,7.415230925640388e-05,13.2,0.0002801426825004529,13.2,3.471963918391857e-11,13.2,8.703616059419775e-10
17,7.427465292832667e-05,17,0.0002799695687680633,17,3.473251867084444e-11,17,9.838828473759608e-10
20.8,7.439394267671366e-05,20.8,0.0002797951248606779,20.8,3.475093791431184e-11,20.8,1.119636469505829e-09
24.6,7.451025321251908e-05,24.6,0.0002796192855694479,24.6,3.477706223937193e-11,24.6,1.281359792046091e-09
28.4,7.462366806562906e-05,28.4,0.0002794420221233714,28.4,3.481380330782032e-11,28.4,1.473289964513532e-09
32.2,7.473424713276914e-05,32.2,0.0002792632798721971,32.2,3.486503382774914e-11,32.2,1.700211423501579e-09
36,7.484206434759205e-05,36,0.0002790830451664574,36,3.493584691812443e-11,36,1.967505534976878e-09
