i /V10/MINUS; dc (I) X,i /V10/MINUS; dc (I) Y,i /V12/MINUS; dc (I) X,i /V12/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y
-40,1.155919736261937e-09,-40,5.013168698673551e-07,-40,1.416985739033226e-09
-36.2,1.156682831425448e-09,-36.2,5.013279010002199e-07,-36.2,1.417006409855519e-09
-32.40000000000001,1.157457017822124e-09,-32.40000000000001,5.013402252970326e-07,-32.40000000000001,1.417027317689148e-09
-28.6,1.158241030661711e-09,-28.6,5.013540323349083e-07,-28.6,1.417048267008861e-09
-24.8,1.159036247159511e-09,-24.8,5.01369549759699e-07,-24.8,1.417069251999527e-09
-21,1.159844503820145e-09,-21,5.013870519617779e-07,-21,1.417090275466463e-09
-17.2,1.160668245009566e-09,-17.2,5.014068709416514e-07,-17.2,1.41711134200467e-09
-13.4,1.1615107747078e-09,-13.4,5.014294093616627e-07,-13.4,1.417132458458721e-09
-9.600000000000001,1.162376607228513e-09,-9.600000000000001,5.0145515609383e-07,-9.600000000000001,1.417153634815969e-09
-5.800000000000002,1.163271949304096e-09,-5.800000000000002,5.014847045963358e-07,-5.800000000000002,1.417174885644256e-09
-2.000000000000002,1.164205355467294e-09,-2.000000000000002,5.015187744682805e-07,-2.000000000000002,1.417196231783327e-09
1.799999999999998,1.165188609940578e-09,1.799999999999998,5.015582365478275e-07,1.799999999999998,1.417217704362473e-09
5.599999999999998,1.166237902121149e-09,5.599999999999998,5.016041419326781e-07,5.599999999999998,1.41723934899023e-09
9.399999999999999,1.167375379823648e-09,9.399999999999999,5.016577553145352e-07,9.399999999999999,1.417261233355392e-09
13.2,1.168631185450559e-09,13.2,5.017205930318128e-07,13.2,1.417283460422393e-09
17,1.170046106179214e-09,17,5.017944662811406e-07,17,1.41730618650169e-09
20.8,1.171675001331716e-09,20.8,5.018815302444303e-07,20.8,1.417329652215966e-09
24.6,1.173591209997054e-09,24.6,5.019843422968343e-07,24.6,1.417354230025514e-09
28.4,1.175892191962395e-09,28.4,5.02105944253637e-07,28.4,1.417380500983607e-09
32.2,1.17870671802512e-09,32.2,5.022499845822755e-07,32.2,1.417409371274367e-09
36,1.182204005873479e-09,36,5.024207626093861e-07,36,1.417442256708007e-09
39.8,1.186605300275231e-09,39.8,5.02623187488342e-07,39.8,1.417481363407257e-09
43.59999999999999,1.192198528523303e-09,43.59999999999999,5.028629375308971e-07,43.59999999999999,1.417530120078538e-09
47.39999999999999,1.199356833439501e-09,47.39999999999999,5.031466858584707e-07,47.39999999999999,1.417593828119681e-09
51.19999999999999,1.208562009374996e-09,51.19999999999999,5.034822065233081e-07,51.19999999999999,1.417680638886319e-09
54.99999999999999,1.220434157900607e-09,54.99999999999999,5.038783652212329e-07,54.99999999999999,1.417803004684091e-09
58.79999999999998,1.235771679378296e-09,58.79999999999998,5.043452023984474e-07,58.79999999999998,1.417979915981238e-09
62.59999999999998,1.255589254356754e-09,62.59999999999998,5.048941106341952e-07,62.59999999999998,1.418239616799813e-09
66.39999999999998,1.281190749654503e-09,66.39999999999998,5.05538016907858e-07,66.39999999999998,1.418624641946228e-09
70.19999999999997,1.314246103406722e-09,70.19999999999997,5.062915677995598e-07,70.19999999999997,1.419198206463209e-09
73.99999999999997,1.356878485949219e-09,73.99999999999997,5.071713075598415e-07,73.99999999999997,1.420053002643114e-09
77.79999999999997,1.41179998764907e-09,77.79999999999997,5.081958593943494e-07,77.79999999999997,1.42132450332018e-09
81.59999999999997,1.482471425483709e-09,81.59999999999997,5.093861112780133e-07,81.59999999999997,1.423209019530073e-09
85.39999999999996,1.573310492722582e-09,85.39999999999996,5.107654158052948e-07,85.39999999999996,1.425988875758041e-09
89.19999999999996,1.68995939917887e-09,89.19999999999996,5.123598029528078e-07,89.19999999999996,1.430067087757289e-09
92.99999999999996,1.83962914781529e-09,92.99999999999996,5.141982058047973e-07,92.99999999999996,1.436014771679966e-09
96.79999999999995,2.031542364840684e-09,96.79999999999995,5.163126994641715e-07,96.79999999999995,1.444635498820133e-09
100.6,2.277502729034447e-09,100.6,5.187387536602136e-07,100.6,1.457052039530692e-09
104.3999999999999,2.592642493786751e-09,104.3999999999999,5.215154999865047e-07,104.3999999999999,1.474822495085073e-09
108.1999999999999,2.996537321757433e-09,108.1999999999999,5.246860152779962e-07,108.1999999999999,1.50009480419521e-09
111.9999999999999,3.513992654016171e-09,111.9999999999999,5.282976211787667e-07,111.9999999999999,1.535810633460974e-09
115.7999999999999,4.176744025847118e-09,115.7999999999999,5.324022061125735e-07,115.7999999999999,1.585973775693683e-09
119.5999999999999,5.025617845668725e-09,119.5999999999999,5.370565667104796e-07,119.5999999999999,1.655999809466311e-09
123.3999999999999,6.112878108669334e-09,123.3999999999999,5.423227787507874e-07,123.3999999999999,1.753170413015741e-09
127.1999999999999,7.505373084648012e-09,127.1999999999999,5.482685936477631e-07,127.1999999999999,1.887219138239258e-09
130.9999999999999,9.288516820098038e-09,130.9999999999999,5.549678745246573e-07,130.9999999999999,2.071083543242949e-09
134.8,1.15712907221131e-08,134.8,5.625010715737987e-07,134.8,2.321864969633943e-09
138.6,1.449251172042796e-08,138.6,5.709557460936853e-07,138.6,2.662047254098555e-09
142.4,1.822866065998474e-08,142.4,5.804271505107884e-07,142.4,3.121036333730819e-09
146.2,2.300362354372484e-08,146.2,5.910188726312063e-07,146.2,3.737095676410288e-09
150,2.910076862797565e-08,150,6.028435525403732e-07,150,4.559767677749949e-09
