v /net10; dc (V) X,v /net10; dc (V) Y,v /net37; dc (V) X,v /net37; dc (V) Y
-40,1.20518670611287,-40,0.6661155267055815
-36.2,1.205272601919776,-36.2,0.6660902080001596
-32.40000000000001,1.205396519585542,-32.40000000000001,0.6660539744339595
-28.6,1.205512022395512,-28.6,0.6659996405785993
-24.8,1.205618415256995,-24.8,0.665915899680567
-21,1.205715831872642,-21,0.6657852437420334
-17.2,1.205804385782935,-17.2,0.6655809720136371
-13.4,1.205884172944538,-13.4,0.6652629513735013
-9.600000000000001,1.205955284408858,-9.600000000000001,0.6647716944774226
-5.800000000000002,1.206052352684517,-5.800000000000002,0.6640202100756153
-2.000000000000002,1.206105178201071,-2.000000000000002,0.662882958787946
1.799999999999998,1.206117841642317,1.799999999999998,0.6611811431419757
5.599999999999998,1.206154789254079,5.599999999999998,0.658663487684061
9.399999999999999,1.206183862846389,9.399999999999999,0.6549817078922424
13.2,1.206204783547929,13.2,0.6496601287907349
17,1.206217628189897,17,0.6420595529615089
20.8,1.206222473568937,20.8,0.6313367864791365
24.6,1.206219393880573,24.6,0.6164035450458373
28.4,1.206208464340017,28.4,0.5958922031393212
32.2,1.206189748830386,32.2,0.5681413665160618
36,1.20616331908822,36,0.5312215987739817
39.8,1.206129241328602,39.8,0.483030456067472
43.59999999999999,1.206087580272678,43.59999999999999,0.4214963186903986
47.39999999999999,1.206038398925468,47.39999999999999,0.3449497893454664
51.19999999999999,1.205981758188333,51.19999999999999,0.2528526501466239
54.99999999999999,1.205917717510901,54.99999999999999,0.1505831925570112
58.79999999999998,1.205866389574874,58.79999999999998,0.08352727955990737
62.59999999999998,1.205787156099597,62.59999999999998,0.05895947765164682
66.39999999999998,1.205700717828989,66.39999999999998,0.04709617240022494
70.19999999999997,1.20558880962203,70.19999999999997,0.03962158314380477
73.99999999999997,1.20548848599571,73.99999999999997,0.03410165254971666
77.79999999999997,1.205381207193178,77.79999999999997,0.02951922426458388
81.59999999999997,1.205266903101537,81.59999999999997,0.02541959236284847
85.39999999999996,1.205145621212935,85.39999999999996,0.02156186258426858
89.19999999999996,1.205033541983779,89.19999999999996,0.01702129221276559
92.99999999999996,1.204898033689205,92.99999999999996,0.01287556606748393
96.79999999999995,1.204755697908929,96.79999999999995,0.009919889032265849
100.6,1.204591717208503,100.6,0.00776136727136425
104.3999999999999,1.204436149137357,104.3999999999999,0.00614978509220446
108.1999999999999,1.204273949453137,108.1999999999999,0.004926588235406172
111.9999999999999,1.204105081411492,111.9999999999999,0.003986686163398124
115.7999999999999,1.203929586662236,115.7999999999999,0.003257697220174945
119.5999999999999,1.203747507549096,119.5999999999999,0.002688306347032759
123.3999999999999,1.203558887179134,123.3999999999999,0.002241320044864902
127.1999999999999,1.203363770044618,127.1999999999999,0.00188931246164959
130.9999999999999,1.203162202829587,130.9999999999999,0.001611783692717265
134.8,1.202954235454242,134.8,0.001393244038044567
138.6,1.202739922435666,138.6,0.001221888297846659
142.4,1.202519324573573,142.4,0.001088658700601468
146.2,1.20229251119385,146.2,0.0009865709481260455
150,1.202059562951844,150,0.0009102225503880458
