v /net10; dc (V) X,v /net10; dc (V) Y,v /net37; dc (V) X,v /net37; dc (V) Y
-40,1.540563249703102e-06,-40,1.225991414633703
-36.2,1.656037826019425e-06,-36.2,1.226128969581768
-32.40000000000001,1.7997367730744e-06,-32.40000000000001,1.226257190074572
-28.6,1.978208002384097e-06,-28.6,1.226332740061003
-24.8,2.199428955056876e-06,-24.8,1.226443577398123
-21,2.473092606863173e-06,-21,1.226546017587419
-17.2,2.810929661616756e-06,-17.2,1.226639480772141
-13.4,3.227056135856517e-06,-13.4,1.226724090337731
-9.600000000000001,3.73833907639586e-06,-9.600000000000001,1.226799965608576
-5.800000000000002,4.36476980699941e-06,-5.800000000000002,1.226902470723572
-2.000000000000002,5.12986054848599e-06,-2.000000000000002,1.226960004868031
1.799999999999998,6.061025397265081e-06,1.799999999999998,1.226976732647483
5.599999999999998,7.18997253776198e-06,5.599999999999998,1.227018477571059
9.399999999999999,8.553151381229213e-06,9.399999999999999,1.227052451571908
13.2,1.019217308735938e-05,13.2,1.227078392854651
17,1.215427579688013e-05,17,1.22709642488498
20.8,1.449280791618681e-05,20.8,1.227106668711084
24.6,1.726773100283658e-05,24.6,1.227109247248876
28.4,2.054613841245986e-05,28.4,1.227104435136281
32.2,2.440278607144223e-05,32.2,1.22709223072941
36,2.892062825249344e-05,36,1.22707258598448
39.8,3.419135457859537e-05,39.8,1.227045791129428
43.59999999999999,4.031592165723998e-05,43.59999999999999,1.227012000585714
47.39999999999999,4.740507457240463e-05,47.39999999999999,1.226971356252253
51.19999999999999,5.557985133770644e-05,51.19999999999999,1.226924009685587
54.99999999999999,6.497206567222115e-05,54.99999999999999,1.226870119907225
58.79999999999998,7.572476092091834e-05,58.79999999999998,1.226809853016893
62.59999999999998,8.799262933856328e-05,62.59999999999998,1.226743383218811
66.39999999999998,0.0001019423901322447,66.39999999999998,1.226670893324401
70.19999999999997,0.0001177531195738071,70.19999999999997,1.226592575502765
73.99999999999997,0.0001356165263473731,73.99999999999997,1.226508632104831
77.79999999999997,0.0001557371652093252,77.79999999999997,1.226419276475359
81.59999999999997,0.0001783325820085248,81.59999999999997,1.226324734189439
85.39999999999996,0.0002036333832128988,85.39999999999996,1.226225243734006
89.19999999999996,0.0002318832232805766,89.19999999999996,1.226121057981631
92.99999999999996,0.000263338703593735,92.99999999999996,1.226012445370746
96.79999999999995,0.0002982689871441154,96.79999999999995,1.225915147378596
100.6,0.000336956249026326,100.6,1.225798170205973
104.3999999999999,0.0003796941848387687,104.3999999999999,1.225677696814499
108.1999999999999,0.0004267884609689333,108.1999999999999,1.225539808049841
111.9999999999999,0.0004785549987703022,111.9999999999999,1.225413652871189
115.7999999999999,0.0005353206347985047,115.7999999999999,1.225285221719489
119.5999999999999,0.0005974214131284621,119.5999999999999,1.225154811346901
123.3999999999999,0.0006652019048231702,123.3999999999999,1.22502289794017
127.1999999999999,0.0007390142281448029,127.1999999999999,1.224889970771423
130.9999999999999,0.0008192170103814975,130.9999999999999,1.224756542465472
134.8,0.0009061743132026299,134.8,1.224623142304966
138.6,0.00100025455285516,138.6,1.224490304793176
142.4,0.001101829453928882,142.4,1.224358557869225
146.2,0.001211273084440796,146.2,1.224228414154324
150,0.001328961029958944,150,1.224100368930498
