/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y,/net8 X,/net8 Y
-40,4.221862679231257e-09,-40,3.028339161587857e-09,-40,2.094869417570749e-08,-40,1.673238123586798e-05
-35.2,4.486407182867712e-09,-35.2,3.181058929338549e-09,-35.2,2.148537328741765e-08,-35.2,1.675348271824764e-05
-30.4,4.841672269388368e-09,-30.4,3.352498128456963e-09,-30.4,2.202735814774409e-08,-30.4,1.677507816252111e-05
-25.6,5.323233147787738e-09,-25.6,3.546373572067043e-09,-25.6,2.25746203262761e-08,-25.6,1.679715362223419e-05
-20.8,5.978217626567157e-09,-20.8,3.767464164062424e-09,-20.8,2.312712838030083e-08,-20.8,1.681969111102368e-05
-16,6.868271960901344e-09,-16,4.021974493403393e-09,-16,2.36848387505297e-08,-16,1.684265984539672e-05
-11.2,8.073077451017341e-09,-11.2,4.318006778198254e-09,-11.2,2.424768489767234e-08,-11.2,1.686600750831179e-05
-6.399999999999999,9.694474292819283e-09,-6.399999999999999,4.666166103004912e-09,-6.399999999999999,2.481556385680148e-08,-6.399999999999999,1.688964600247767e-05
-1.6,1.186124593023497e-08,-1.6,5.08032684053021e-09,-1.6,2.538831786056258e-08,-1.6,1.691343853542002e-05
3.2,1.473461634708359e-08,3.2,5.578591211505975e-09,3.2,2.59657342744586e-08,3.2,1.693719842884786e-05
8,1.851450528952894e-08,8,6.184475396879889e-09,8,2.654754130584323e-08,8,1.696068582080091e-05
12.8,2.344658319975773e-08,12.8,6.928360691992692e-09,12.8,2.713341232194171e-08,12.8,1.698360356121333e-05
17.6,2.983015913992647e-08,17.6,7.849251823332125e-09,17.6,2.772302237441789e-08,17.6,1.700563415336551e-05
22.4,3.802692565675424e-08,22.4,8.996887620364417e-09,22.4,2.831627452649382e-08,22.4,1.702659894571077e-05
27.2,4.847057915569249e-08,27.2,1.043424911307285e-08,27.2,2.891415109605319e-08,27.2,1.704709527585589e-05
32,6.167732016200029e-08,32,1.224051913939861e-08,32,2.952190102520732e-08,32,1.707095814806306e-05
36.8,7.825723023266109e-08,36.8,1.451453995240741e-08,36.8,3.015270975988009e-08,36.8,1.710773460906462e-05
41.59999999999999,9.892651012827198e-08,41.59999999999999,1.737882678915851e-08,41.59999999999999,3.081264845942559e-08,41.59999999999999,1.715965767498784e-05
46.39999999999999,1.245205525932502e-07,46.39999999999999,2.098418834159757e-08,46.39999999999999,3.151562695584673e-08,46.39999999999999,1.723342340552847e-05
51.19999999999999,1.560078126922539e-07,51.19999999999999,2.551500917943766e-08,51.19999999999999,3.228786743355101e-08,51.19999999999999,1.734209385759274e-05
55.99999999999999,1.945044268849739e-07,55.99999999999999,3.119524794639268e-08,55.99999999999999,3.31740262905676e-08,55.99999999999999,1.750725888468824e-05
60.79999999999998,2.412895204319204e-07,60.79999999999998,3.829520335131759e-08,60.79999999999998,3.425359894850015e-08,60.79999999999998,1.776737991101754e-05
65.59999999999998,2.978211359456922e-07,65.59999999999998,4.713909825560762e-08,65.59999999999998,3.566147504536931e-08,65.59999999999998,1.818630011238345e-05
70.39999999999998,3.657527024424138e-07,70.39999999999998,5.811352946211199e-08,70.39999999999998,3.762362363789888e-08,70.39999999999998,1.886866436391982e-05
75.19999999999997,4.469499589149416e-07,75.19999999999997,7.167682731854611e-08,75.19999999999997,4.051374527281162e-08,75.19999999999997,1.998390582075038e-05
79.99999999999997,5.435082390029482e-07,79.99999999999997,8.83693652539915e-08,79.99999999999997,4.494390965422895e-08,79.99999999999997,2.180391943583788e-05
84.79999999999997,6.5777001557412e-07,84.79999999999997,1.088248538713515e-07,84.79999999999997,5.190174830514663e-08,84.79999999999997,2.475871468268776e-05
