v /net013; dc (V) X,v /net013; dc (V) Y
-40,0.0001063676827721621
-36.2,0.000106122254852328
-32.40000000000001,0.0001058490756427335
-28.6,0.000105566349275587
-24.8,0.0001052947039965473
-21,0.0001050540815680816
-17.2,0.0001048610074021434
-13.4,0.0001047267857984031
-9.600000000000001,0.0001046118637430301
-5.800000000000002,0.0001044264579920014
-2.000000000000002,0.0001043202858880641
1.799999999999998,0.0001043404569620594
5.599999999999998,0.0001044796415060743
9.399999999999999,0.0001046952651930266
13.2,0.0001049471884792287
17,0.000105224610488438
20.8,0.0001055261812030595
24.6,0.0001058532596266782
28.4,0.0001062083420632758
32.2,0.0001065946510753605
36,0.0001070159920832999
39.8,0.0001074767247263167
43.59999999999999,0.0001079817806180896
47.39999999999999,0.0001085367103289666
51.19999999999999,0.0001091477562816674
54.99999999999999,0.000109821955257278
58.79999999999998,0.0001105672793199549
62.59999999999998,0.0001113928291076614
66.39999999999998,0.0001123090995247082
70.19999999999997,0.0001133283456328038
73.99999999999997,0.0001144650865834651
77.79999999999997,0.0001157367985038085
81.59999999999997,0.0001171648641784542
85.39999999999996,0.0001187758691812162
89.19999999999996,0.0001206033620275915
92.99999999999996,0.0001226902314179248
96.79999999999995,0.0001250918984877069
100.6,0.0001278805782784174
104.3999999999999,0.0001311509348791809
108.1999999999999,0.000135027541795229
111.9999999999999,0.0001396746665195551
115.7999999999999,0.0001453090299464304
119.5999999999999,0.0001522163519740745
123.3999999999999,0.0001607726894159801
127.1999999999999,0.0001714718076564474
130.9999999999999,0.000184960109995278
134.8,0.0002020809863910799
138.6,0.0002239308451735164
142.4,0.0002519295671609979
146.2,0.0002879086826313748
150,0.0003342212297992163
