/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,1.367964913881981e-05,-40,-8.136789558564403e-11,-40,0.0002586722286889721
-35.2,1.366689723064086e-05,-35.2,-8.839424974055544e-11,-35.2,0.0002595134540770892
-30.4,1.365892245902539e-05,-30.4,-9.524299699030797e-11,-30.4,0.0002603874279265593
-25.6,1.365538654673261e-05,-25.6,-1.019263807739062e-10,-25.6,0.0002612898063010297
-20.8,1.365598189006278e-05,-20.8,-1.08452689575707e-10,-20.8,0.0002622163353089551
-16,1.366042968856055e-05,-16,-1.148283172548505e-10,-16,0.0002631628911635196
-11.2,1.366848087339208e-05,-11.2,-1.210576337096992e-10,-11.2,0.0002641255161869182
-6.399999999999999,1.367991722483458e-05,-6.399999999999999,-1.271420242660764e-10,-6.399999999999999,0.0002651004417094599
-1.6,1.369455273685877e-05,-1.6,-1.330804330183685e-10,-1.6,0.0002660841079008083
3.2,1.371223526430384e-05,3.2,-1.38866306280817e-10,3.2,0.0002670731720180424
8,1.373284851759595e-05,8,-1.444886134299448e-10,8,0.0002680645160007746
12.8,1.375631426590781e-05,12.8,-1.499300142467136e-10,12.8,0.0002690552419676694
17.6,1.37825947295937e-05,17.6,-1.551625596152379e-10,17.6,0.0002700426696010411
22.4,1.381169528805055e-05,22.4,-1.601495027290549e-10,22.4,0.0002710243285940413
27.2,1.384366734059189e-05,27.2,-1.648398570393598e-10,27.2,0.0002719979459772821
32,1.387861127657761e-05,32,-1.691707336078035e-10,32,0.0002729614323619583
36.8,1.391667954002596e-05,36.8,-1.730685310096973e-10,36.8,0.0002739128704121827
41.59999999999999,1.395807975233176e-05,41.59999999999999,-1.764589524247354e-10,41.59999999999999,0.000274850495618917
46.39999999999999,1.400307787971963e-05,46.39999999999999,-1.7928859058384e-10,46.39999999999999,0.0002757726834095709
51.19999999999999,1.405200144881215e-05,51.19999999999999,-1.8156757847069e-10,51.19999999999999,0.0002766779323419622
55.99999999999999,1.410524282743703e-05,55.99999999999999,-1.834548113832158e-10,55.99999999999999,0.0002775648459168698
60.79999999999998,1.416326260140788e-05,60.79999999999998,-1.854036739338471e-10,60.79999999999998,0.0002784321225642873
65.59999999999998,1.422581981550469e-05,65.59999999999998,-1.884729598070392e-10,65.59999999999998,0.0002792785313938488
70.39999999999998,1.429505218200633e-05,70.39999999999998,-1.945225184354889e-10,70.39999999999998,0.0002801029131522058
75.19999999999997,1.43708966364774e-05,75.19999999999997,-2.072438620890565e-10,75.19999999999997,0.0002809041524479941
79.99999999999997,1.445411342345393e-05,79.99999999999997,-2.330296631786959e-10,79.99999999999997,0.000281681175742307
84.79999999999997,1.454556296183826e-05,84.79999999999997,-2.827354229632851e-10,84.79999999999997,0.0002824329383093513
89.59999999999997,1.464620134937658e-05,89.59999999999997,-3.743162832264626e-10,89.59999999999997,0.0002831584184838431
94.39999999999996,1.475708937982502e-05,94.39999999999996,-5.36829015895609e-10,94.39999999999996,0.0002838566131043024
99.19999999999996,1.48794030469363e-05,99.19999999999996,-8.16443695840033e-10,99.19999999999996,0.0002845265363731515
104,1.501445214177891e-05,104,-1.285363010307714e-09,104,0.0002851672207649222
108.8,1.516370494692725e-05,108.8,-2.054879000492017e-09,108.8,0.0002857777290558034
113.6,1.532882599122461e-05,113.6,-3.294268935322684e-09,113.6,0.0002863571707378333
118.3999999999999,1.551173280400574e-05,118.3999999999999,-5.257820787161066e-09,118.3999999999999,0.0002869047253317137
123.1999999999999,1.57146815766124e-05,123.1999999999999,-8.323027844330937e-09,123.1999999999999,0.0002874196841003249
127.9999999999999,1.594039718269497e-05,127.9999999999999,-1.304458173752816e-08,127.9999999999999,0.0002879015081002423
132.8,1.619372872351893e-05,132.8,-2.022835094567274e-08,132.8,0.0002883499115779057
137.6,1.647629844715267e-05,137.6,-3.103305755292408e-08,137.6,0.0002887649463991038
142.4,1.679530439939152e-05,142.4,-4.711071350037042e-08,142.4,0.0002891471923258851
147.2,1.715893625123138e-05,147.2,-7.079631337993894e-08,147.2,0.0002894979340159666
152,1.757916643204195e-05,152,-1.053540310161158e-07,152,0.0002898194280549008
156.8,1.807449242140819e-05,156.8,-1.553199416592132e-07,156.8,0.0002901152674237646
161.6,1.867558644842233e-05,161.6,-2.269394415381527e-07,161.6,0.0002903908370666843
166.4,1.943849122187576e-05,166.4,-3.287599660284099e-07,166.4,0.0002906539372817668
171.2,2.048225468279076e-05,171.2,-4.72431639483005e-07,171.2,0.0002909156165048005
176.0000000000001,2.214081703270124e-05,176.0000000000001,-6.736889519583745e-07,176.0000000000001,0.0002911911731344557
180.8000000000001,2.76703515536024e-05,180.8000000000001,-9.537963546954826e-07,180.8000000000001,0.0002915016729086152
185.6000000000001,1.409327884851143e-05,185.6000000000001,-1.341381690983902e-06,185.6000000000001,0.0002918758172592256
190.4000000000001,1.408081172435557e-05,190.4000000000001,-1.874985470020906e-06,190.4000000000001,0.0002923525670544757
195.2000000000001,1.409249488979177e-05,195.2000000000001,-2.606566906495837e-06,195.2000000000001,0.0002929847233503919
200,1.412054351683256e-05,200,-3.607050715282548e-06,200,0.0002938446775970999
