/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,1.673238124044227e-05,-40,4.221862772647074e-09,-40,3.028339143939508e-09,-40,2.094869414278475e-08
-35.2,1.675348269916606e-05,-35.2,4.486407218372562e-09,-35.2,3.181058968275818e-09,-35.2,2.148537322628498e-08
-30.4,1.677507814202397e-05,-30.4,4.841672247011738e-09,-30.4,3.35249822396612e-09,-30.4,2.202735824986376e-08
-25.6,1.679715359994126e-05,-25.6,5.32323318326423e-09,-25.6,3.546373554458017e-09,-25.6,2.25746201840536e-08
-20.8,1.681969112146141e-05,-20.8,5.978217662043649e-09,-20.8,3.767464146453398e-09,-20.8,2.31271283610065e-08
-16,1.684265987715264e-05,-16,6.868271938578593e-09,-16,4.021974475794366e-09,-16,2.368483879743691e-08
-11.2,1.686600753963963e-05,-11.2,8.07307742869459e-09,-11.2,4.318006760589228e-09,-11.2,2.42476850096456e-08
-6.399999999999999,1.688964601950194e-05,-6.399999999999999,9.694474270496532e-09,-6.399999999999999,4.666166141906689e-09,-6.399999999999999,2.48155638022423e-08
-1.6,1.691343858318895e-05,-1.6,1.186124590791222e-08,-1.6,5.080326879431987e-09,-1.6,2.538831779516989e-08
3.2,1.693719853032804e-05,3.2,1.473461632476082e-08,3.2,5.578591250407749e-09,3.2,2.596573422219493e-08
8,1.6960686040804e-05,8,1.851450520952342e-08,8,6.184475435782791e-09,8,2.65475418267537e-08
12.8,1.698360397241669e-05,12.8,2.344658317741362e-08,12.8,6.928360674427752e-09,12.8,2.713341273083535e-08
17.6,1.700563491914287e-05,17.6,2.983015911758223e-08,17.6,7.84925191868179e-09,17.6,2.772302326228239e-08
22.4,1.702660038166657e-05,22.4,3.802692563441006e-08,22.4,8.99688754637061e-09,22.4,2.831627623973146e-08
27.2,1.704709772179884e-05,27.2,4.847057907574507e-08,27.2,1.043424915195548e-08,27.2,2.891415405188674e-08
32,1.707096130496171e-05,32,6.167732013963807e-08,32,1.224051906542311e-08,32,2.95219048022132e-08
36.8,1.710773694206025e-05,36.8,7.825723021029911e-08,36.8,1.451453999127226e-08,36.8,3.015271262352818e-08
41.59999999999999,1.715966096103947e-05,41.59999999999999,9.892651004835867e-08,41.59999999999999,1.737882677161251e-08,41.59999999999999,3.081265237119426e-08
46.39999999999999,1.723342476916487e-05,46.39999999999999,1.24520552570881e-07,46.39999999999999,2.098418843685778e-08,46.39999999999999,3.151562870980443e-08
51.19999999999999,1.734209551265713e-05,51.19999999999999,1.560078127274049e-07,51.19999999999999,2.551500921830226e-08,51.19999999999999,3.228786952924515e-08
55.99999999999999,1.750726147743736e-05,55.99999999999999,1.945044268626197e-07,55.99999999999999,3.119524798525872e-08,55.99999999999999,3.317402980403725e-08
60.79999999999998,1.776738429495162e-05,60.79999999999998,2.412895204095662e-07,60.79999999999998,3.829520333380522e-08,60.79999999999998,3.425360482095753e-08
65.59999999999998,1.818630775932706e-05,65.59999999999998,2.978211359808148e-07,65.59999999999998,4.713909823809525e-08,65.59999999999998,3.566148554385541e-08
70.39999999999998,1.886867790630098e-05,70.39999999999998,3.657527024200647e-07,70.39999999999998,5.811352950096456e-08,70.39999999999998,3.762364229514124e-08
75.19999999999997,1.998392994690475e-05,75.19999999999997,4.469499588925905e-07,75.19999999999997,7.167682735739865e-08,75.19999999999997,4.051377934887913e-08
79.99999999999997,2.180396205675967e-05,79.99999999999997,5.435082390380356e-07,79.99999999999997,8.836936529284402e-08,79.99999999999997,4.494397063010551e-08
84.79999999999997,2.475878895029212e-05,84.79999999999997,6.577700156092082e-07,84.79999999999997,1.088248537975179e-07,84.79999999999997,5.190185633992536e-08
89.59999999999997,2.952193318181305e-05,89.59999999999997,7.923426031917888e-07,89.59999999999997,1.337826501249847e-07,89.59999999999997,6.296484131388135e-08
94.39999999999996,3.713603838289826e-05,94.39999999999996,9.501159090673745e-07,94.39999999999996,1.641011059176186e-07,94.39999999999996,8.0622236240894e-08
99.19999999999996,4.919694782208438e-05,99.19999999999996,1.13428012777427e-06,99.19999999999996,2.007719725142638e-07,99.19999999999996,1.08757459845357e-07
104,6.811986211139119e-05,104,1.348343269212618e-06,104,2.44935875217575e-07,104,1.533610572426511e-07
108.8,9.751939453349143e-05,108.8,1.596148418303297e-06,108.8,2.978988620556177e-07,108.8,2.235737901017416e-07
113.6,0.0001427450575089828,113.6,1.881890623456871e-06,113.6,3.611500278436207e-07,113.6,3.331967868401991e-07
118.3999999999999,0.0002116243993100402,118.3999999999999,2.21013332263067e-06,118.3999999999999,4.363802081403509e-07,118.3999999999999,5.028553705473495e-07
123.1999999999999,0.000315476222797009,123.1999999999999,2.585824220253087e-06,123.1999999999999,5.255017341281616e-07,123.1999999999999,7.630680911498712e-07
127.9999999999999,0.0004704622808278811,127.9999999999999,3.014310542080666e-06,127.9999999999999,6.306692382321193e-07,127.9999999999999,1.158556415742666e-06
132.8,0.0006993404914183073,132.8,3.501353606090514e-06,132.8,7.543014965201145e-07,132.8,1.754237518711159e-06
137.6,0.001033651225741749,137.6,4.053142666581415e-06,137.6,8.991043006981464e-07,137.6,2.643478196535734e-06
142.4,0.00151628814374549,142.4,4.676308002910987e-06,142.4,1.068094355185626e-06,142.4,3.959357041985664e-06
147.2,0.002204236837456018,147.2,5.377933252313381e-06,147.2,1.264624205586687e-06,147.2,5.889894418081142e-06
152,0.003170959801418862,152,6.165567007269669e-06,152,1.492408223628634e-06,152,8.698478782042287e-06
156.8,0.004507420321477307,156.8,7.047233732143373e-06,156.8,1.755549692291397e-06,156.8,1.275106904578001e-05
161.6,0.006320100967478573,161.6,8.031444088626715e-06,161.6,2.058569073536243e-06,161.6,1.855223206679788e-05
166.4,0.008723841857251008,166.4,9.127204802901737e-06,166.4,2.406433576069151e-06,166.4,2.679274667524251e-05
171.2,0.01182762073503125,171.2,1.034402825848732e-05,171.2,2.804588205134368e-06,171.2,3.841243225062239e-05
