/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,1.67323812405669e-05,-40,4.221862704740879e-09,-40,3.028339143939508e-09,-40,2.0948694271538e-08
-35.2,1.675348272064056e-05,-35.2,4.486407208377333e-09,-35.2,3.181058968275818e-09,-35.2,2.14853732134524e-08
-30.4,1.677507816575295e-05,-30.4,4.841672237016516e-09,-30.4,3.35249822396612e-09,-30.4,2.202735820569544e-08
-25.6,1.679715362782199e-05,-25.6,5.323233173269012e-09,-25.6,3.546373554458017e-09,-25.6,2.257462043310056e-08
-20.8,1.681969111882427e-05,-20.8,5.978217652048431e-09,-20.8,3.767464146453398e-09,-20.8,2.312712839807225e-08
-16,1.684265985713025e-05,-16,6.868271928583387e-09,-16,4.021974475794366e-09,-16,2.368483869292159e-08
-11.2,1.686600753352452e-05,-11.2,8.073077418699388e-09,-11.2,4.318006760589228e-09,-11.2,2.42476850022496e-08
-6.399999999999999,1.688964603408795e-05,-6.399999999999999,9.694474260501331e-09,-6.399999999999999,4.666166141906689e-09,-6.399999999999999,2.481556372638269e-08
-1.6,1.691343859378441e-05,-1.6,1.186124589791702e-08,-1.6,5.080326879431987e-09,-1.6,2.538831780880894e-08
3.2,1.693719853830151e-05,3.2,1.473461631476564e-08,3.2,5.578591250407749e-09,3.2,2.596573460096719e-08
8,1.696068604091153e-05,8,1.851450519952822e-08,8,6.184475435782791e-09,8,2.654754194974527e-08
12.8,1.698360397238932e-05,12.8,2.344658328274171e-08,12.8,6.928360674427752e-09,12.8,2.713341271318686e-08
17.6,1.70056349192927e-05,17.6,2.983015910762727e-08,17.6,7.84925191868179e-09,17.6,2.772302339650559e-08
22.4,1.702660037750199e-05,22.4,3.802692562445506e-08,22.4,8.99688754637061e-09,22.4,2.831627624201514e-08
27.2,1.704709773280721e-05,27.2,4.847057918099712e-08,27.2,1.043424915195548e-08,27.2,2.891415399640821e-08
32,1.707096132604511e-05,32,6.167732018730492e-08,32,1.224051906542311e-08,32,2.952190478205462e-08
36.8,1.710773695410657e-05,36.8,7.825723020039723e-08,36.8,1.451453999127226e-08,36.8,3.015271257854943e-08
41.59999999999999,1.7159660932856e-05,41.59999999999999,9.892651015355935e-08,41.59999999999999,1.737882677161251e-08,41.59999999999999,3.081265263172384e-08
46.39999999999999,1.723342476782188e-05,46.39999999999999,1.245205525610025e-07,46.39999999999999,2.098418843685778e-08,46.39999999999999,3.151562878396271e-08
51.19999999999999,1.734209551844023e-05,51.19999999999999,1.560078127175257e-07,51.19999999999999,2.551500921830226e-08,51.19999999999999,3.228786925669627e-08
55.99999999999999,1.750726149108067e-05,55.99999999999999,1.945044268527399e-07,55.99999999999999,3.119524798525872e-08,55.99999999999999,3.317402990133024e-08
60.79999999999998,1.776738430057409e-05,60.79999999999998,2.412895204571777e-07,60.79999999999998,3.829520333380522e-08,60.79999999999998,3.425360484878003e-08
65.59999999999998,1.818630776530059e-05,65.59999999999998,2.978211359709496e-07,65.59999999999998,4.713909823809525e-08,65.59999999999998,3.566148545109981e-08
70.39999999999998,1.886867791589423e-05,70.39999999999998,3.657527024102087e-07,70.39999999999998,5.811352950096456e-08,70.39999999999998,3.762364223091674e-08
75.19999999999997,1.998392994683551e-05,75.19999999999997,4.469499588827365e-07,75.19999999999997,7.167682735739865e-08,75.19999999999997,4.051377927278101e-08
79.99999999999997,2.180396201230383e-05,79.99999999999997,5.435082390281809e-07,79.99999999999997,8.836936529284402e-08,79.99999999999997,4.494397045733829e-08
84.79999999999997,2.475878886036444e-05,84.79999999999997,6.577700155993525e-07,84.79999999999997,1.088248537975179e-07,84.79999999999997,5.190185601103035e-08
89.59999999999997,2.952193315238879e-05,89.59999999999997,7.923426031819331e-07,89.59999999999997,1.337826501249847e-07,89.59999999999997,6.296484117053128e-08
94.39999999999996,3.713603836045441e-05,94.39999999999996,9.501159090575189e-07,94.39999999999996,1.641011059176186e-07,94.39999999999996,8.062223612091516e-08
99.19999999999996,4.919694785300144e-05,99.19999999999996,1.134280127764414e-06,99.19999999999996,2.007719725142638e-07,99.19999999999996,1.087574600432878e-07
104,6.811986210447546e-05,104,1.348343269202762e-06,104,2.44935875217575e-07,104,1.533610571907007e-07
108.8,9.751939453541208e-05,108.8,1.596148418293443e-06,108.8,2.978988620556177e-07,108.8,2.235737898005293e-07
113.6,0.000142745057509122,113.6,1.881890623389652e-06,113.6,3.611500278436207e-07,113.6,3.331967869849937e-07
118.3999999999999,0.0002116243993101964,118.3999999999999,2.210133322563459e-06,118.3999999999999,4.363802081403509e-07,118.3999999999999,5.028553707021431e-07
123.1999999999999,0.0003154762227962696,123.1999999999999,2.585824220300558e-06,123.1999999999999,5.255017341281616e-07,123.1999999999999,7.630680903814392e-07
