/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,5.011198124491231,-40,4.221862847504202e-09,-40,3.028339194220673e-09,-40,5.011198038634292
-35.2,5.011208579882521,-35.2,4.486407449645012e-09,-35.2,3.181058905361523e-09,-35.2,5.011208518238659
-30.4,5.011222209031382,-30.4,4.84167259840606e-09,-30.4,3.352498217605722e-09,-30.4,5.011222171164945
-25.6,5.011240381639236,-25.6,5.323233706177757e-09,-25.6,3.546373604642977e-09,-25.6,5.011240366957923
-20.8,5.011264224023517,-20.8,5.97821861316015e-09,-20.8,3.767464196631609e-09,-20.8,5.011264231706805
-16,5.011294653116661,-16,6.868273507607527e-09,-16,4.021974525978644e-09,-16,5.01129468198833
-11.2,5.011332415537381,-11.2,8.073080099617318e-09,-11.2,4.318006754278841e-09,-11.2,5.011332463845737
-6.399999999999999,5.011378121543312,-6.399999999999999,9.694478696930087e-09,-6.399999999999999,4.66616613565933e-09,-6.399999999999999,5.011378186644703
-1.6,5.01143209022701,-1.6,1.186125331616846e-08,-1.6,5.080326816817883e-09,-1.6,5.011432168113333
3.2,5.011494758543489,3.2,1.473462879110761e-08,3.2,5.578591244541232e-09,3.2,5.011494843129355
8,5.011566328500459,8,1.851452630500605e-08,8,6.184475430405104e-09,8,5.011566410566979
12.8,5.011647071357809,12.8,2.34466188173403e-08,12.8,6.928360669960173e-09,12.8,5.011647137018367
17.6,5.011737061738691,17.6,2.983021896616605e-08,17.6,7.849251882589129e-09,17.6,5.011737090274275
22.4,5.011836666230318,22.4,3.802702570834096e-08,22.4,8.99688756983852e-09,22.4,5.011836627039625
27.2,5.011945897416397,27.2,4.847074502689335e-08,27.2,1.043424912475777e-08,27.2,5.011945745803295
32,5.012064993162698,32,6.167759259651491e-08,32,1.224051916181936e-08,32,5.012064664570919
36.8,5.012194144295376,36.8,7.825767300793121e-08,36.8,1.451453993846229e-08,36.8,5.012193546539621
41.59999999999999,5.012333693953889,41.59999999999999,9.892722178654796e-08,41.59999999999999,1.7378826871753e-08,41.59999999999999,5.012332696859406
46.39999999999999,5.01248386380975,46.39999999999999,1.245216833073767e-07,46.39999999999999,2.09841883659367e-08,46.39999999999999,5.012482285562885
51.19999999999999,5.012645047778272,51.19999999999999,1.560095882142058e-07,51.19999999999999,2.551500922259821e-08,51.19999999999999,5.012642637123628
55.99999999999999,5.012817537699042,55.99999999999999,1.945071822398281e-07,55.99999999999999,3.119524806550279e-08,55.99999999999999,5.012813950978768
60.79999999999998,5.013001912973411,60.79999999999998,2.412937469638422e-07,60.79999999999998,3.82952034729325e-08,60.79999999999998,5.012996684799516
65.59999999999998,5.013198862412856,65.59999999999998,2.978275456313455e-07,65.59999999999998,4.713909858932002e-08,65.59999999999998,5.013191368598561
70.39999999999998,5.013408911696448,70.39999999999998,3.657623147202497e-07,70.39999999999998,5.811353001137639e-08,70.39999999999998,5.013398322866975
75.19999999999997,5.013632815154045,75.19999999999997,4.469642182254222e-07,75.19999999999997,7.167682829690019e-08,75.19999999999997,5.013618039245656
79.99999999999997,5.013871665154458,79.99999999999997,5.435291690860721e-07,79.99999999999997,8.836936684733838e-08,79.99999999999997,5.01385127685417
84.79999999999997,5.014125379664431,84.79999999999997,6.578004238443608e-07,84.79999999999997,1.088248566535738e-07,84.79999999999997,5.014097534523749
89.59999999999997,5.014397297365369,89.59999999999997,7.92386344855739e-07,89.59999999999997,1.33782655031072e-07,89.59999999999997,5.014359629383733
94.39999999999996,5.014687617445789,94.39999999999996,9.501782287405941e-07,94.39999999999996,1.641011142324192e-07,94.39999999999996,5.014637115956598
99.19999999999996,5.014998071656373,99.19999999999996,1.134368094224284e-06,99.19999999999996,2.007719866082266e-07,99.19999999999996,5.014930937553022
104,5.015330422065578,104,1.348466326434371e-06,104,2.44935898742985e-07,104,5.015241900677057
108.8,5.015686561368907,108.8,1.596319075801523e-06,108.8,2.978989008166282e-07,108.8,5.015570751059074
113.6,5.016068707477155,113.6,1.882125316342895e-06,113.6,3.611500908161963e-07,113.6,5.015918343785388
118.3999999999999,5.016479305026134,118.3999999999999,2.210453472213299e-06,118.3999999999999,4.36380309181377e-07,118.3999999999999,5.016285521639307
123.1999999999999,5.016922009881729,123.1999999999999,2.586257535018065e-06,123.1999999999999,5.255018944805118e-07,123.1999999999999,5.016674079362544
127.9999999999999,5.01739743077916,127.9999999999999,3.014892598969065e-06,127.9999999999999,6.30669489657279e-07,127.9999999999999,5.017082493175164
132.8,5.017909419864847,132.8,3.502129761885772e-06,132.8,7.543018863125676e-07,132.8,5.017512207547482
137.6,5.018461180249415,137.6,4.054170350677912e-06,137.6,8.991048983586584e-07,137.6,5.017963758122617
142.4,5.01905527554303,142.4,4.677659450926703e-06,142.4,1.068095261480509e-06,142.4,5.018436817109278
147.2,5.019693435726813,147.2,5.379698744793179e-06,147.2,1.264625565386509e-06,147.2,5.018930078681238
152,5.020381020969596,152,6.167858684055688e-06,152,1.492410242529271e-06,152,5.019445840486388
156.8,5.021119198652582,156.8,7.050190058561688e-06,156.8,1.755552659581013e-06,156.8,5.019982395697633
161.6,5.021910594085838,161.6,8.035235057452469e-06,161.6,2.058573391425505e-06,161.6,5.02053997141401
166.4,5.022758005155644,166.4,9.132037959667864e-06,166.4,2.406439798526223e-06,166.4,5.021119866815678
171.2,5.023667754032127,171.2,1.035015564755057e-05,171.2,2.804597087236871e-06,171.2,5.021728336239372
176.0000000000001,5.024642913204522,176.0000000000001,1.169966819317988e-05,176.0000000000001,3.259001102756649e-06,176.0000000000001,5.022370585737725
180.8000000000001,5.025699047982333,180.8000000000001,1.319118984130962e-05,180.8000000000001,3.776153198624031e-06,180.8000000000001,5.02306709803425
