/I18/PLUS (Design_Point=1) X,/I18/PLUS (Design_Point=1) Y
-40,1e-05
-36.2,1e-05
-32.40000000000001,1e-05
-28.6,1e-05
-24.8,1e-05
-21,1e-05
-17.2,1e-05
-13.4,1e-05
-9.600000000000001,1e-05
-5.800000000000002,1e-05
-2.000000000000002,1e-05
1.799999999999998,1e-05
5.599999999999998,1e-05
9.399999999999999,1e-05
13.2,1e-05
17,1e-05
20.8,1e-05
24.6,1e-05
28.4,1e-05
32.2,1e-05
36,1e-05
39.8,1e-05
43.59999999999999,1e-05
47.39999999999999,1e-05
51.19999999999999,1e-05
54.99999999999999,1e-05
58.79999999999998,1e-05
62.59999999999998,1e-05
66.39999999999998,1e-05
70.19999999999997,1e-05
73.99999999999997,1e-05
77.79999999999997,1e-05
81.59999999999997,1e-05
85.39999999999996,1e-05
89.19999999999996,1e-05
92.99999999999996,1e-05
96.79999999999995,1e-05
100.6,1e-05
104.3999999999999,1e-05
108.1999999999999,1e-05
111.9999999999999,1e-05
115.7999999999999,1e-05
119.5999999999999,1e-05
123.3999999999999,1e-05
127.1999999999999,1e-05
130.9999999999999,1e-05
134.8,1e-05
138.6,1e-05
142.4,1e-05
146.2,1e-05
150,1e-05
