/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,5.348889058680898e-10,-40,8.158351005460508e-11,-40,2.87367233610468e-09
-35.2,5.477527850474319e-10,-35.2,8.162507877930109e-11,-35.2,2.875327655397382e-09
-30.4,5.647288169790935e-10,-30.4,8.166651493246374e-11,-30.4,2.877306787255066e-09
-25.6,5.872483756750351e-10,-25.6,8.170852831097356e-11,-25.6,2.878648178743347e-09
-20.8,6.171624451856429e-10,-20.8,8.175360033048246e-11,-20.8,2.879935479038412e-09
-16,6.568378895256146e-10,-16,8.18053147812961e-11,-16,2.881603760001959e-09
-11.2,7.092750442520167e-10,-11.2,8.18689363048948e-11,-11.2,2.883261944681895e-09
-6.399999999999999,7.782741490794798e-10,-6.399999999999999,8.195310191044756e-11,-6.399999999999999,2.884394272749566e-09
-1.6,8.686596615767074e-10,-1.6,8.207048917204131e-11,-1.6,2.886007874817126e-09
3.2,9.865080764311399e-10,3.2,8.224296844816406e-11,3.2,2.887428445271025e-09
8,1.140050650869314e-09,8,8.250483417617741e-11,8,2.888729173360154e-09
12.8,1.341233751445554e-09,12.8,8.291378490133543e-11,12.8,2.890692665682729e-09
17.6,1.596630611661839e-09,17.6,8.357732828714427e-11,17.6,2.892430163533258e-09
22.4,1.915934238687704e-09,22.4,8.471331605956756e-11,22.4,2.893870621217973e-09
27.2,2.315361582220253e-09,27.2,8.687855359710516e-11,27.2,2.895614174300606e-09
32,2.813493023603429e-09,32,9.190906554628668e-11,32,2.897553288592177e-09
36.8,3.431428935956824e-09,36.8,1.04116012068926e-10,36.8,2.900339083230556e-09
41.59999999999999,4.193417689109701e-09,41.59999999999999,1.25693680404514e-10,41.59999999999999,2.903955139512446e-09
46.39999999999999,5.127361276837581e-09,46.39999999999999,1.578530386542185e-10,46.39999999999999,2.907773664035996e-09
51.19999999999999,6.265204867670642e-09,51.19999999999999,2.035497753271276e-10,51.19999999999999,2.91481402376751e-09
55.99999999999999,7.643289803202561e-09,55.99999999999999,2.31372656348256e-10,55.99999999999999,2.955803890634672e-09
60.79999999999998,9.302668962802908e-09,60.79999999999998,2.458398527637274e-10,60.79999999999998,3.046184050763663e-09
65.59999999999998,1.128939900065618e-08,65.59999999999998,2.662295357497428e-10,65.59999999999998,3.173464885395591e-09
70.39999999999998,1.365478398619346e-08,70.39999999999998,2.953423713333775e-10,70.39999999999998,3.354171412406708e-09
75.19999999999997,1.645557876191811e-08,75.19999999999997,3.370623629430183e-10,75.19999999999997,3.610163706294377e-09
79.99999999999997,1.975414331559652e-08,79.99999999999997,3.970060407839394e-10,79.99999999999997,3.973760994581412e-09
84.79999999999997,2.361853066197885e-08,84.79999999999997,4.833443689964895e-10,84.79999999999997,4.491301433841848e-09
89.59999999999997,2.812260663054481e-08,89.59999999999997,6.079825727690825e-10,89.59999999999997,5.227730506728963e-09
94.39999999999996,3.334595361712767e-08,94.39999999999996,7.882631057586819e-10,94.39999999999996,6.278728696463517e-09
99.19999999999996,3.937389163304919e-08,99.19999999999996,1.049413900238447e-09,99.19999999999996,7.782068453004121e-09
104,4.629736790966791e-08,104,1.428035042327458e-09,104,9.934310728733898e-09
108.8,5.42128122110434e-08,108.8,1.977039446622932e-09,108.8,1.301836949429797e-08
113.6,6.322194297695147e-08,113.6,2.772587856294178e-09,113.6,1.744225879680077e-08
118.3999999999999,7.343153760493826e-08,118.3999999999999,3.923763513102187e-09,118.3999999999999,2.37859813582291e-08
123.1999999999999,8.49532052766645e-08,123.1999999999999,5.585942977293492e-09,123.1999999999999,3.287105755120324e-08
127.9999999999999,9.790321935405739e-08,127.9999999999999,7.979154736195344e-09,127.9999999999999,4.586448116528951e-08
132.8,1.124024373501546e-07,132.8,1.141307252927218e-08,132.8,6.439942096277385e-08
137.6,1.285762525739283e-07,137.6,1.632079317826184e-08,137.6,9.076760433057371e-08
142.4,1.46554465771191e-07,142.4,2.330414593798938e-08,142.4,1.281452780518314e-07
147.2,1.664710249956097e-07,147.2,3.319402333978558e-08,147.2,1.809254296827979e-07
152,1.88463782432764e-07,152,4.713014632488839e-08,152,2.551373009348295e-07
156.8,2.12674851007386e-07,156.8,6.66657883557732e-08,156.8,3.590142287806471e-07
161.6,2.392529746893483e-07,161.6,9.390435141465664e-08,161.6,5.037203075385319e-07
166.4,2.683598882744605e-07,166.4,1.316762955585738e-07,166.4,7.043187649139609e-07
171.2,3.001796641948135e-07,171.2,1.837669052528916e-07,171.2,9.810191460991763e-07
176.0000000000001,3.349226196682308e-07,176.0000000000001,2.55207666546013e-07,176.0000000000001,1.360801333847737e-06
180.8000000000001,3.72817665156863e-07,180.8000000000001,3.526467928293847e-07,180.8000000000001,1.879545543164651e-06
185.6000000000001,4.141021985246432e-07,185.6000000000001,4.848176422343772e-07,185.6000000000001,2.584861670153821e-06
190.4000000000001,4.590191253029544e-07,190.4000000000001,6.631275511285319e-07,190.4000000000001,3.539992114188746e-06
195.2000000000001,5.078193492024826e-07,195.2000000000001,9.023939614524129e-07,195.2000000000001,4.829594931475762e-06
200,5.607686748797637e-07,200,1.221759803411153e-06,200,6.569503967145406e-06
