/net8 X,/net8 Y,/net10 X,/net10 Y,/net016 X,/net016 Y,/net017 X,/net017 Y
-40,5.029241905461775,-40,4.221862799071752e-09,-40,3.028339188493796e-09,-40,5.029241580587885
-35.2,5.03034414849351,-35.2,4.486407401212563e-09,-35.2,3.181058899634646e-09,-35.2,5.030343826250282
-30.4,5.03149523954142,-30.4,4.841672607855083e-09,-30.4,3.352498211878845e-09,-30.4,5.031494918665155
-25.6,5.032699926690125,-25.6,5.323233715626778e-09,-25.6,3.5463735989161e-09,-25.6,5.032699605778588
-20.8,5.033963781013481,-20.8,5.978218622609166e-09,-20.8,3.767464190904732e-09,-20.8,5.033963458441807
-16,5.035293363906256,-16,6.868273517056544e-09,-16,4.021974520251768e-09,-16,5.03529303768937
-11.2,5.036696441961093,-11.2,8.073080051291865e-09,-11.2,4.318006805074365e-09,-11.2,5.036696109537817
-6.399999999999999,5.038182249836788,-6.399999999999999,9.694478706354856e-09,-6.399999999999999,4.666166129945099e-09,-6.399999999999999,5.038181907737384
-1.6,5.039761811722501,-1.6,1.186125332559322e-08,-1.6,5.080326811103651e-09,-1.6,5.03976145507209
3.2,5.041448331171819,3.2,1.473462880053238e-08,3.2,5.578591238826997e-09,3.2,5.041447952954668
8,5.043257658076315,8,1.851452631443082e-08,8,6.184475424690872e-09,8,5.043257248052424
12.8,5.045208842166395,12.8,2.344661882676455e-08,12.8,6.928360664245941e-09,12.8,5.045208385310839
17.6,5.047324775515868,17.6,2.98302189755903e-08,17.6,7.849251876874896e-09,17.6,5.047324249808121
22.4,5.049632918816393,22.4,3.802702571776521e-08,22.4,8.996887564124287e-09,22.4,5.049632292143454
27.2,5.052166091138989,27.2,4.84707450363176e-08,27.2,1.043424911904353e-08,27.2,5.052165317007434
32,5.054963280581036,32,6.167759260593916e-08,32,1.224051915610512e-08,32,5.054962292256379
36.8,5.058070405146218,36.8,7.825767301735546e-08,36.8,1.451453993274804e-08,36.8,5.05806910773364
41.59999999999999,5.061540921542083,41.59999999999999,9.89272217959722e-08,41.59999999999999,1.737882686603876e-08,41.59999999999999,5.061539181396966
46.39999999999999,5.065436150172267,46.39999999999999,1.245216833168009e-07,46.39999999999999,2.098418836022243e-08,46.39999999999999,5.065433780878146
51.19999999999999,5.069825170418382,51.19999999999999,1.5600958822363e-07,51.19999999999999,2.551500927327811e-08,51.19999999999999,5.069821914387969
55.99999999999999,5.074784154713843,55.99999999999999,1.945071821917479e-07,55.99999999999999,3.119524805979504e-08,55.99999999999999,5.074779659250676
60.79999999999998,5.080395065527693,60.79999999999998,2.412937469732527e-07,60.79999999999998,3.829520357998292e-08,60.79999999999998,5.080388851927353
65.59999999999998,5.086743733576524,65.59999999999998,2.97827545640756e-07,65.59999999999998,4.713909852725483e-08,65.59999999999998,5.086735157544043
70.39999999999998,5.093917453655853,70.39999999999998,3.6576231472966e-07,70.39999999999998,5.811353000567385e-08,70.39999999999998,5.093905654967986
75.19999999999997,5.102002339696003,75.19999999999997,4.469642182348325e-07,75.19999999999997,7.167682829119407e-08,75.19999999999997,5.101986178640822
79.99999999999997,5.111070111938528,79.99999999999997,5.435291690922024e-07,79.99999999999997,8.83693668500177e-08,79.99999999999997,5.111048089507509
84.79999999999997,5.121217347341012,84.79999999999997,6.578004238504913e-07,84.79999999999997,1.088248566562467e-07,84.79999999999997,5.121187506366967
89.59999999999997,5.132503076445483,89.59999999999997,7.923863448618695e-07,89.59999999999997,1.337826550337318e-07,89.59999999999997,5.132462878185533
94.39999999999996,5.14498714356229,94.39999999999996,9.501782287467246e-07,94.39999999999996,1.641011142350535e-07,94.39999999999996,5.144933316525992
99.19999999999996,5.158720212632403,99.19999999999996,1.134368094230414e-06,99.19999999999996,2.007719866108146e-07,99.19999999999996,5.158648567091386
104,5.173743762133084,104,1.348466326440501e-06,104,2.449358987454879e-07,104,5.17364896367682
108.8,5.19009038412105,108.8,1.596319075807653e-06,108.8,2.978989007626646e-07,108.8,5.189965678110355
113.6,5.207784049104339,113.6,1.882125316349024e-06,113.6,3.611500908182509e-07,113.6,5.207620926253099
118.3999999999999,5.226839840230005,118.3999999999999,2.210453472219428e-06,118.3999999999999,4.363803091829161e-07,118.3999999999999,5.22662763160397
123.1999999999999,5.247262242066482,123.1999999999999,2.586257534998147e-06,123.1999999999999,5.255018944960097e-07,123.1999999999999,5.246987629496898
127.9999999999999,5.269058889230157,127.9999999999999,3.014892598949138e-06,127.9999999999999,6.306694896704146e-07,127.9999999999999,5.268705310718123
132.8,5.292153880165197,132.8,3.502129761879647e-06,132.8,7.543018862408532e-07,132.8,5.291700828850148
137.6,5.3164804811272,137.6,4.054170350678015e-06,137.6,8.991048983446927e-07,137.6,5.315902625884668
142.4,5.341877235263463,142.4,4.67765945092519e-06,142.4,1.068095261462367e-06,142.4,5.341143456217156
147.2,5.368096008158405,147.2,5.379698744779084e-06,147.2,1.264625565371223e-06,147.2,5.367168125358397
152,5.394866288776669,152,6.167858684033894e-06,152,1.492410242508783e-06,152,5.39369762235914
156.8,5.422070873319316,156.8,7.050190058597162e-06,156.8,1.755552659639787e-06,156.8,5.420604453814539
161.6,5.449933284931578,161.6,8.035235057430665e-06,161.6,2.058573391374853e-06,161.6,5.448099573844303
166.4,5.479054610578267,166.4,9.13203795964606e-06,166.4,2.406439798503902e-06,166.4,5.476768656908747
171.2,5.510299635432579,171.2,1.03501556476433e-05,171.2,2.804597087185207e-06,171.2,5.507457472222294
176.0000000000001,5.544666346432807,176.0000000000001,1.169966819315808e-05,176.0000000000001,3.259001102678898e-06,176.0000000000001,5.541140518653672
180.8000000000001,5.583190430585925,180.8000000000001,1.319118984134508e-05,180.8000000000001,3.776153198444427e-06,180.8000000000001,5.578824360499321
185.6000000000001,5.62691504566607,185.6000000000001,1.499961570187806,185.6000000000001,4.363137639344972e-06,185.6000000000001,5.621515960849071
190.4000000000001,5.67687662681794,190.4000000000001,1.499956961835438,190.4000000000001,5.027662140171431e-06,190.4000000000001,5.67020659857132
195.2000000000001,5.734101970333692,195.2000000000001,1.499951921885833,195.2000000000001,5.778102319502459e-06,195.2000000000001,5.725866528709968
200,5.799589912763267,200,1.499946422362265,200,6.623551062361481e-06,200,5.789423309782107
